Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,
optimus-prime-muscle,test Optimus Prime Muscle  suff,,Disguise Inc.,Costumes,"sm, 4-6, costumes, optimus, prime, muscle, sm, (4-6), ",TRUE,Size,4-6,,,,,,,shopify,,deny,manual,29.99,39.99,True,TRUE,39897735177,,,,,,,,,,,,,,,,,,,,,,
optimus-prime-muscle,,,,,,TRUE,,7-8,,,,,,,shopify,,deny,manual,29.99,39.99,True,TRUE,39897735153,,,,,,,,,,,,,,,,,,,,,,
wolverine-muscle,test Wolverine Muscle  suff,,Disguise Inc.,Costumes,"med, 7-8, costumes, wolverine, muscle, med, (7-8), ",TRUE,Size,7-8,,,,,,,shopify,,deny,manual,26.24,34.99,True,TRUE,32692055570,,,,,,,,,,,,,,,,,,,,,,
fire-dragon-ninja-child,test Fire Dragon Ninja Child suff,,Amscan,Costumes,"fire, ninja, s, costumes, fire, dragon, ninja, child, sm, ",TRUE,Size,Small,,,,,,,shopify,,deny,manual,18.74,24.99,True,TRUE,809801702881,,,,,,,,,,,,,,,,,,,,,,
fire-dragoin-ninja-child,,,,,,TRUE,,Medium,,,,,,,shopify,,deny,manual,18.74,24.99,True,TRUE,809801703062,,,,,,,,,,,,,,,,,,,,,,
fire-dragoin-ninja-child,,,,,,TRUE,,Large,,,,,,,shopify,,deny,manual,18.74,24.99,True,TRUE,809801703055,,,,,,,,,,,,,,,,,,,,,,
fang-child,test Fang Child  suff,,Amscan,Costumes,"fang, med, costumes, fang, child, med, 8-10, ",TRUE,Size,Medium,,,,,,,shopify,,deny,manual,22.49,29.99,True,TRUE,809801702836,,,,,,,,,,,,,,,,,,,,,,
fang-child,,,,,,TRUE,,Large,,,,,,,shopify,,deny,manual,22.49,29.99,True,TRUE,809801702843,,,,,,,,,,,,,,,,,,,,,,
dark-vampire-child,test Dark Vampire Child suff,,Amscan,Costumes,"vampire, sm, costumes, dark, vampire, child, sm, ",TRUE,Size,Small,,,,,,,shopify,,deny,manual,22.49,29.99,True,TRUE,809801731799,,,,,,,,,,,,,,,,,,,,,,
dark-vampire-child,,,,,,TRUE,,Medium,,,,,,,shopify,,deny,manual,22.49,29.99,True,TRUE,809801731669,,,,,,,,,,,,,,,,,,,,,,
brave-crusader-ch,test Brave Crusader Ch suff,,Amscan,Costumes,"brave, crusad, costumes, brave, crusader, ch, med, ",TRUE,Size,Medium,,,,,,,shopify,,deny,manual,26.24,34.99,True,TRUE,809801723770,,,,,,,,,,,,,,,,,,,,,,
brave-crusader-ch,,,,,,TRUE,,Large,,,,,,,shopify,,deny,manual,26.24,34.99,True,TRUE,809801723763,,,,,,,,,,,,,,,,,,,,,,
grey-werewolf,test Grey Werewolf suff,,Fun World,Costumes,"medium, costumes, grey, werewolf, medium, ",TRUE,Size,Medium,,,,,,,shopify,,deny,manual,33.74,44.99,True,TRUE,23168158130,,,,,,,,,,,,,,,,,,,,,,
grey-werewolf,,,,,,TRUE,,Large,,,,,,,shopify,,deny,manual,33.74,44.99,True,TRUE,23168258137,,,,,,,,,,,,,,,,,,,,,,
brown-werewolf,test Brown Werewolf suff,,Fun World,Costumes,"medium, costumes, brown, werewolf, med, ",TRUE,Size,Medium,,,,,,,shopify,,deny,manual,33.74,44.99,True,TRUE,23168128133,,,,,,,,,,,,,,,,,,,,,,
brown-werewolf,,,,,,TRUE,,Large,,,,,,,shopify,,deny,manual,33.74,44.99,True,TRUE,23168228130,,,,,,,,,,,,,,,,,,,,,,
werewolf,test Werewolf suff,,Fun World,Costumes,"medium, costumes, black, werewolf, med, ",TRUE,Size,Medium,Color,BLACK,,,,,shopify,,deny,manual,33.74,44.99,True,TRUE,23168558138,,,,,,,,,,,,,,,,,,,,,,
uncle-sam,test Uncle Sam suff,,Forum Novelties Inc,Costumes,"sm, costumes, uncle, sam, sm, ",TRUE,Size,Small,,,,,,,shopify,,deny,manual,11.24,14.99,True,TRUE,400000505626,,,,,,,,,,,,,,,,,,,,,,
lab-coat-child,test Lab Coat Child suff,,Fun World,Costumes,"child, costumes, lab, coat, child, ",TRUE,Size,Child,,,,,,,shopify,,deny,manual,14.99,19.99,True,TRUE,23168058492,,,,,,,,,,,,,,,,,,,,,,
grave-reaper-child,test Grave Reaper Child suff,,Fun World,Costumes,"child, costumes, grave, reaper, child, ",TRUE,Size,Child,,,,,,,shopify,,deny,manual,14.99,19.99,True,TRUE,23168087348,,,,,,,,,,,,,,,,,,,,,,
