Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,
optimus-prime-muscle-,,,,,,TRUE,,,,,,,,,,,,,29.99,39.99,TRUE,TRUE,39897735153,,,,,,,,,,,,,,,,,,,,,,
wolverine-muscle-,Wolverine Muscle ,,Disguise Inc.,Costumes,"wolverine, muscle, med, (7-8), med, 7-8, costumes, ",TRUE,Size,,,,,,,,,,,,26.24,34.99,TRUE,TRUE,32692055570,,,,,,,,,,,,,,,,,,,,,,
fire-dragon-ninja-child,Fire Dragon Ninja Child,,Amscan,Costumes,"fire, dragon, ninja, child, sm, fire, ninja, s, costumes, ",TRUE,Size,Sm,,,,,,,,,,,18.74,24.99,TRUE,TRUE,809801702881,,,,,,,,,,,,,,,,,,,,,,
fire-dragoin-ninja-child,,,,,,TRUE,,Med,,,,,,,,,,,18.74,24.99,TRUE,TRUE,809801703062,,,,,,,,,,,,,,,,,,,,,,
fire-dragoin-ninja-child,,,,,,TRUE,,Lg,,,,,,,,,,,18.74,24.99,TRUE,TRUE,809801703055,,,,,,,,,,,,,,,,,,,,,,
fang-child-,Fang Child ,,Amscan,Costumes,"fang, child, med, 8-10, fang, med, costumes, ",TRUE,Size,Med,,,,,,,,,,,22.49,29.99,TRUE,TRUE,809801702836,,,,,,,,,,,,,,,,,,,,,,
fang-child-,,,,,,TRUE,,Lg,,,,,,,,,,,22.49,29.99,TRUE,TRUE,809801702843,,,,,,,,,,,,,,,,,,,,,,
dark-vampire-child,Dark Vampire Child,,Amscan,Costumes,"dark, vampire, child, sm, vampire, sm, costumes, ",TRUE,Size,Sm,,,,,,,,,,,22.49,29.99,TRUE,TRUE,809801731799,,,,,,,,,,,,,,,,,,,,,,
dark-vampire-child,,,,,,TRUE,,Med,,,,,,,,,,,22.49,29.99,TRUE,TRUE,809801731669,,,,,,,,,,,,,,,,,,,,,,
brave-crusader-ch,Brave Crusader Ch,,Amscan,Costumes,"brave, crusader, ch, med, brave, crusad, costumes, ",TRUE,Size,Med,,,,,,,,,,,26.24,34.99,TRUE,TRUE,809801723770,,,,,,,,,,,,,,,,,,,,,,
