Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,
anna-deluxe,,,,,,,,7-8,,,,,,,shopify,5,deny,manual,32.24,42.99,True,,39897570075,,,,,,,,,,,,,,,,,,,,,,
anna-coronation,,,,,,,,7-8,,,,,,,shopify,2,deny,manual,32.24,42.99,True,,39897769110,,,,,,,,,,,,,,,,,,,,,,
elsa-deluxe,Girls Elsa Deluxe  Costume,,Disguise Inc.,Costumes,"elsa, deluxe, sm, (4-6x), costumes, ",,Size,4-6X,,,,,,,shopify,8,deny,manual,32.24,42.99,True,,39897569994,,,,,,,,,,,,,,,,,,,,,,
elsa-snow-queen-gown,Girls Elsa Snow Queen Gown  Costume,,Disguise Inc.,Costumes,"elsa, snow, queen, gown, sm, (4-6x), costumes, ",,Size,4-6X,,,,,,,shopify,3,deny,manual,24.74,32.99,True,,39897769066,,,,,,,,,,,,,,,,,,,,,,
elsa-deluxe,,,,,,,,7-8,,,,,,,shopify,2,deny,manual,32.24,42.99,True,,39897570006,,,,,,,,,,,,,,,,,,,,,,
snow-white-sparkle,Girls Snow White Sparkle  Costume,,Disguise Inc.,Costumes,"snow, white, sparkle, med, (7-8), costumes, ",,Size,7-8,,,,,,,shopify,2,deny,manual,19.99,32.99,True,,39897591650,,,,,,,,,,,,,,,,,,,,,,
elsa-snow-queen-gown,,,,,,,,7-8,,,,,,,shopify,0,deny,manual,24.74,32.99,True,,39897769080,,,,,,,,,,,,,,,,,,,,,,
merida-classic,,,,,,,,3T-4T,,,,,,,shopify,0,deny,manual,24.74,32.99,True,,39897436005,,,,,,,,,,,,,,,,,,,,,,
ariel-sparkle-classic-xs,Girls Ariel Sparkle Classic Xs Costume,,Disguise Inc.,Costumes,"ariel, sparkle, classic, xs(3t-4t), costumes, ",,Size,3T-4T,,,,,,,shopify,2,deny,manual,24.74,32.99,True,,39897591896,,,,,,,,,,,,,,,,,,,,,,
merida-classic,,,,,,,,7-8,,,,,,,shopify,0,deny,manual,24.74,32.99,True,,39897436029,,,,,,,,,,,,,,,,,,,,,,
ariel-sparkle-classic,,,,,,,,4-6X,,,,,,,shopify,0,deny,manual,24.74,32.99,True,,39897591988,,,,,,,,,,,,,,,,,,,,,,
ariel-sparkle-classic,,,,,,,,7-8,,,,,,,shopify,1,deny,manual,24.74,32.99,True,,39897591995,,,,,,,,,,,,,,,,,,,,,,
pirate-lass,,,,,,,,7-8,,,,,,,shopify,0,deny,manual,26.24,34.99,True,,32692920878,,,,,,,,,,,,,,,,,,,,,,
sock-monkey-girl,,,,,,,,4-6,,,,,,,shopify,0,deny,manual,19.99,34.99,True,,39897383347,,,,,,,,,,,,,,,,,,,,,,
cinderella-classic,,,,,,,,3T-4T,,,,,,,shopify,3,deny,manual,19.99,36.99,True,,39897870595,,,,,,,,,,,,,,,,,,,,,,
minnie-mouse,,,,,,,,Medium,,,,,,,shopify,0,deny,manual,33.74,44.99,True,,39897364742,,,,,,,,,,,,,,,,,,,,,,
police-chief,Girls Police Chief Costume,,Fun World,Costumes,"police, chief, lg, costumes, ",,Size,Large,,,,,,,shopify,1,deny,manual,29.99,39.99,True,,71765028714,,,,,,,,,,,,,,,,,,,,,,
cross-eyed-carlie,Girls Cross Eyed Carlie  Costume,,Leg Avenue Inc.,Costumes,"cross, eyed, carlie, 10-12, costumes, ",,,Oct,,,,,,,shopify,0,deny,manual,33.74,44.99,True,,714718000000,,,,,,,,,,,,,,,,,,,,,,
little-zebra,,,,,,,,Oct,,,,,,,shopify,0,deny,manual,28.49,37.99,True,,714718000000,,,,,,,,,,,,,,,,,,,,,,
butterfly-princess,,,,,,,,Small,,,,,,,shopify,0,deny,manual,33.74,44.99,True,,71765029391,,,,,,,,,,,,,,,,,,,,,,
greek-goddess,,,,,,,,Medium,,,,,,,shopify,1,deny,manual,26.24,34.99,True,,71765006255,,,,,,,,,,,,,,,,,,,,,,
sweet-sorceress,Girls Sweet Sorceress Costume,,Fun World,Costumes,"sweet, sorceress, med, costumes, ",,Size,Medium,,,,,,,shopify,0,deny,manual,14.99,19.99,True,,71765000123,,,,,,,,,,,,,,,,,,,,,,
rainbow-unicorn-child,Girls Rainbow Unicorn Child Costume,,Amscan,Costumes,"rainbow, unicorn, child, sm, costumes, ",,Size,Small,,,,,,,shopify,4,deny,manual,32.24,42.99,True,,809802000000,,,,,,,,,,,,,,,,,,,,,,
peacock-princess-child,Girls Peacock Princess Child Costume,,Amscan,Costumes,"peacock, princess, child, med, costumes, ",,Size,Medium,,,,,,,shopify,2,deny,manual,29.99,39.99,True,,809802000000,,,,,,,,,,,,,,,,,,,,,,
peacock-princess-child,,,,,,,,Large,,,,,,,shopify,3,deny,manual,29.99,39.99,True,,809802000000,,,,,,,,,,,,,,,,,,,,,,
miss-sock-hop-child,Girls Miss Sock Hop Child Costume,,Amscan,Costumes,"miss, sock, hop, child, med, costumes, ",,Size,Medium,,,,,,,shopify,3,deny,manual,28.49,37.99,True,,809802000000,,,,,,,,,,,,,,,,,,,,,,
