Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,
d&d-harry-tuxedo-adult,Man's D&D Harry Tuxedo Adult Costume,,Rasta Imposta,Costumes,"d&d, harry, blue, tuxedo, adult, costumes, ",,,Std,Color,BLUE,,,,,shopify,0,deny,manual,59.9925,79.99,True,,791249492700,,,,,,,,,,,,,,,,,,,,,,
d&d-lloyd-orange-tuxedo-adult,Man's D&D Lloyd Orange Tuxedo Adult Costume,,Rasta Imposta,Costumes,"d&d, lloyd, orange, tuxedo, adult, costumes, ",,,Std,,,,,,,shopify,0,deny,manual,59.9925,79.99,True,,791249492809,,,,,,,,,,,,,,,,,,,,,,
darth-vader-adult,Man's Darth Vader Adult Costume,,Rubie's Costume Co.,Costumes,"darth, vader, adult, costumes, ",,,Std,,,,,,,shopify,3,deny,manual,29.9925,39.99,True,,82686166126,,,,,,,,,,,,,,,,,,,,,,
disappearing-day-of-the-dead,Man's Disappearing Day Of The Dead Costume,,Forum Novelties Inc,Costumes,"disappearing, day, of, the, dead, costumes, ",,,Std,,,,,,,shopify,3,deny,manual,37.4925,49.99,True,,721773734632,,,,,,,,,,,,,,,,,,,,,,
disappearing-man,,,,,,,,Medium,,BLACK,,,,,shopify,2,deny,manual,29.9925,39.99,True,,721773674792,,,,,,,,,,,,,,,,,,,,,,
disappearing-man,,,,,,,,Medium,,BLACK,,,,,shopify,1,deny,manual,29.9925,39.99,True,,721773689550,,,,,,,,,,,,,,,,,,,,,,
disappearing-man,,,,,,,,Medium,,BLUE,,,,,shopify,2,deny,manual,29.9925,39.99,True,,721773674815,,,,,,,,,,,,,,,,,,,,,,
disappearing-man,,,,,,,,Medium,,BLUE,,,,,shopify,0,deny,manual,29.9925,39.99,True,,721773689574,,,,,,,,,,,,,,,,,,,,,,
disappearing-man-gid,,,,,,,,Medium,,,,,,,shopify,1,deny,manual,33.74,44.99,True,,721773720741,,,,,,,,,,,,,,,,,,,,,,
disappearing-man,,,,,,,,Medium,,GREEN,,,,,shopify,3,deny,manual,29.9925,39.99,True,,721773674808,,,,,,,,,,,,,,,,,,,,,,
disappearing-man,,,,,,,,Medium,,GREEN,,,,,shopify,1,deny,manual,29.9925,39.99,True,,721773689567,,,,,,,,,,,,,,,,,,,,,,
disappearing-man,,,,,,,,Medium,,RED,,,,,shopify,2,deny,manual,29.9925,39.99,True,,721773674822,,,,,,,,,,,,,,,,,,,,,,
disappearing-man,,,,,,,,Medium,,RED,,,,,shopify,0,deny,manual,29.9925,39.99,True,,721773689581,,,,,,,,,,,,,,,,,,,,,,
disco-fever-adult,Man's Disco Fever Adult Costume,,Forum Novelties Inc,Costumes,"disco, fever, adult, costumes, ",,,Std,,,,,,,shopify,0,deny,manual,28.4925,37.99,True,,721773607479,,,,,,,,,,,,,,,,,,,,,,
doctor-adult,Man's Doctor Adult Costume,,Rubie's Costume Co.,Costumes,"doctor, adult, costumes, ",,,Std,,,,,,,shopify,5,deny,manual,18.7425,24.99,True,,82686153263,,,,,,,,,,,,,,,,,,,,,,
doctor-adult,,,,,,,,Medium,,,,,,,shopify,0,deny,manual,14.9925,19.99,True,,809801702669,,,,,,,,,,,,,,,,,,,,,,
donatello-std,Man's Donatello Std Costume,,Rubie's Costume Co.,Costumes,"donatello, std, costumes, ",,,Std,,,,,,,shopify,0,deny,manual,29.99,59.99,True,,883028044207,,,,,,,,,,,,,,,,,,,,,,
