Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,
grave-reaper-child,Boys Grave Reaper Child Costume,,Fun World,Costumes,"costumes, grave, reaper, child, ",,Size,Child,,,,,,,shopify,0,deny,manual,14.99,19.99,True,,23168087348,,,,,,,,,,,,,,,,,,,,,,
football-player,Boys Football Player Costume,,Forum Novelties Inc,Costumes,"costumes, football, player, sm, ",,Size,Small,,,,,,,shopify,0,deny,manual,22.49,29.99,True,,721773705953,,,,,,,,,,,,,,,,,,,,,,
football-player,,,,,,,,Medium,,,,,,,shopify,0,deny,manual,22.49,29.99,True,,721773705960,,,,,,,,,,,,,,,,,,,,,,
mummy,Boys Mummy Costume,,Forum Novelties Inc,Costumes,"costumes, mummy, med, ",,Size,Medium,,,,,,,shopify,2,deny,manual,22.49,29.99,True,,721773706011,,,,,,,,,,,,,,,,,,,,,,
mummy,,,,,,,,Large,,,,,,,shopify,1,deny,manual,22.49,29.99,True,,721773706028,,,,,,,,,,,,,,,,,,,,,,
bone-suit,Boys Bone Suit Costume,,Forum Novelties Inc,Costumes,"costumes, bone, suit, med, ",,Size,Medium,,,,,,,shopify,0,deny,manual,29.99,39.99,True,,721773709296,,,,,,,,,,,,,,,,,,,,,,
bone-suit,,,,,,,,Large,,,,,,,shopify,1,deny,manual,29.99,39.99,True,,721773709302,,,,,,,,,,,,,,,,,,,,,,
headless-boy-teen,Boys Headless Boy Teen Costume,,Forum Novelties Inc,Costumes,"costumes, headless, boy, teen, ",,Size,Teen,,,,,,,shopify,1,deny,manual,22.49,29.99,True,,721773722301,,,,,,,,,,,,,,,,,,,,,,
headless-boy,,,,,,,,Headless Boy,,,,,,,shopify,0,deny,manual,22.49,29.99,True,,721773681028,,,,,,,,,,,,,,,,,,,,,,
delta-force,Boys Delta Force Costume,,Fun World,Costumes,"costumes, delta, force, lg, ",,Size,Large,,,,,,,shopify,0,deny,manual,41.24,54.99,True,,788677082085,,,,,,,,,,,,,,,,,,,,,,
