item-description,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,shopify,Variant Inventory Qty,deny,manual,Variant Price,Variant Compare At Price,True,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,
snow-white-sparkle,,,,,,,,Small,,,,,,,shopify,,deny,manual,19.99,32.99,True,,39897591612,,,,,,,,,,,,,,,,,,,,,,
monkey-around-infant--mo,Baby Monkey Around Infant  Mo Costume,,Amscan,Costumes,"costumes, monkey, around, infant, 12-18, mo, ",,Size,Medium,,,,,,,shopify,,deny,manual,29.9925,39.99,True,,809801731874,,,,,,,,,,,,,,,,,,,,,,
candy-corn-treat-infant,Baby Candy Corn Treat Infant Costume,,Amscan,Costumes,"costumes, candy, corn, treat, infant, ",,,Infant,,,,,,,shopify,,deny,manual,18.7425,24.99,True,,809801722643,,,,,,,,,,,,,,,,,,,,,,
animal,Baby Animal Costume,,Rubie's Costume Co.,Costumes,"costumes, animal, large, ",,Size,Large,,,,,,,shopify,,deny,manual,22.4925,29.99,True,,883028004737,,,,,,,,,,,,,,,,,,,,,,
cowboy,Baby Cowboy  Costume,,Rubie's Costume Co.,Costumes,"costumes, cowboy, 6-12, ",,,,,,,,,,shopify,,deny,manual,17.2425,22.99,True,,883028000029,,,,,,,,,,,,,,,,,,,,,,
animal,,,,,,,,Medium,,,,,,,shopify,,deny,manual,22.4925,29.99,True,,883028004720,,,,,,,,,,,,,,,,,,,,,,
works-for-peanuts-infant,Baby Works For Peanuts Infant Costume,,Rubie's Costume Co.,Costumes,"costumes, works, for, peanuts, infant, ",,,Infant,,,,,,,shopify,,deny,manual,14.9925,19.99,True,,82686812153,,,,,,,,,,,,,,,,,,,,,,
doggone-cute-m,Baby Doggone Cute M Costume,,Disguise Inc.,Costumes,"costumes, doggone, cute, 12-18m, ",,,M,,,,,,,shopify,,deny,manual,14.9925,19.99,True,,39897135656,,,,,,,,,,,,,,,,,,,,,,
elmo-t,Baby Elmo T Costume,,Disguise Inc.,Costumes,"costumes, elmo, 2t, ",,Size,Medium,,,,,,,shopify,,deny,manual,37.4925,49.99,True,,32692563341,,,,,,,,,,,,,,,,,,,,,,
palace-princess-toddler,Baby Palace Princess Toddler Costume,,Rubie's Costume Co.,Costumes,"costumes, palace, princess, toddler, ",,,Toddler,,,,,,,shopify,,deny,manual,17.2425,22.99,True,,883028207237,,,,,,,,,,,,,,,,,,,,,,
dino,Baby Dino  Costume,,Rubie's Costume Co.,Costumes,"costumes, green, dino, 12-18, ",,,,Color,GREEN,,,,,shopify,,deny,manual,17.2425,22.99,True,,883028150656,,,,,,,,,,,,,,,,,,,,,,
pumpkin-tutu-dress,Baby Pumpkin Tutu Dress  Costume,,Rubie's Costume Co.,Costumes,"costumes, pumpkin, tutu, dress, 6-9, ",,Size,Medium,,,,,,,shopify,,deny,manual,12.7425,16.99,True,,883028517879,,,,,,,,,,,,,,,,,,,,,,
t/t-the-batman-toddler,Baby T/T The Batman Toddler Costume,,Rubie's Costume Co.,Costumes,"costumes, t/t, the, batman, toddler, ",,Size,Medium,,,,,,,shopify,,deny,manual,17.2425,22.99,True,,883028809332,,,,,,,,,,,,,,,,,,,,,,
pretty-witch-toddler,Baby Pretty Witch Toddler Costume,,Rubie's Costume Co.,Costumes,"costumes, pretty, witch, toddler, ",,,Toddler,,,,,,,shopify,,deny,manual,28.4925,37.99,True,,883028315536,,,,,,,,,,,,,,,,,,,,,,
tutu-fairy-toddler,Baby Tutu Fairy Toddler Costume,,Rubie's Costume Co.,Costumes,"costumes, tutu, fairy, toddler, ",,,Toddler,,,,,,,shopify,,deny,manual,24.7425,32.99,True,,883028151639,,,,,,,,,,,,,,,,,,,,,,
robin-infant,Baby Robin Infant Costume,,Rubie's Costume Co.,Costumes,"costumes, robin, infant, ",,,Infant,,,,,,,shopify,,deny,manual,14.9925,19.99,True,,883028520923,,,,,,,,,,,,,,,,,,,,,,
teeny-meany,Baby Teeny Meany  Costume,,Rubie's Costume Co.,Costumes,"costumes, teeny, meany, 6-12, ",,Size,Medium,,,,,,,shopify,,deny,manual,22.4925,29.99,True,,883028150342,,,,,,,,,,,,,,,,,,,,,,
elmo,Baby Elmo  Costume,,Disguise Inc.,Costumes,"costumes, elmo, dlx, 3-4, ",,Size,Medium,,,,,,,shopify,,deny,manual,37.4925,49.99,True,,32692563358,,,,,,,,,,,,,,,,,,,,,,
lavender-princess-toddler,Baby Lavender Princess Toddler Costume,,Rubie's Costume Co.,Costumes,"costumes, lavender, princess, toddler, ",,,Toddler,,,,,,,shopify,,deny,manual,22.4925,29.99,True,,883028271238,,,,,,,,,,,,,,,,,,,,,,
lil'-doc-toddler,Baby Lil' Doc Toddler Costume,,Rubie's Costume Co.,Costumes,"costumes, lil', doc, toddler, ",,,Toddler,,,,,,,shopify,,deny,manual,12.7425,16.99,True,,883028562633,,,,,,,,,,,,,,,,,,,,,,
pinky-winky-monster,Baby Pinky Winky Monster  Costume,,Rubie's Costume Co.,Costumes,"costumes, pinky, winky, monster, 12-18, ",,Size,Medium,,,,,,,shopify,,deny,manual,22.4925,29.99,True,,883028150458,,,,,,,,,,,,,,,,,,,,,,
teeny-meany,,,,,,,,Medium,,,,,,,shopify,,deny,manual,22.4925,29.99,True,,883028150359,,,,,,,,,,,,,,,,,,,,,,
shark-o/s,Baby Shark O/S Costume,,Rubie's Costume Co.,Costumes,"costumes, shark, o/s, ",,,O/S,,,,,,,shopify,,deny,manual,11.2425,14.99,True,,883028539505,,,,,,,,,,,,,,,,,,,,,,
superman-infant,Baby Superman Infant Costume,,Rubie's Costume Co.,Costumes,"costumes, superman, infant, ",,Size,Medium,,,,,,,shopify,,deny,manual,17.2425,22.99,True,,883028562329,,,,,,,,,,,,,,,,,,,,,,
dragon/dinosaur-infant,Baby Dragon/Dinosaur Infant Costume,,Rubie's Costume Co.,Costumes,"costumes, dragon/dinosaur, infant, ",,,Infant,,,,,,,shopify,,deny,manual,17.2425,22.99,True,,883028533923,,,,,,,,,,,,,,,,,,,,,,
rodeo-princess-toddler,Baby Rodeo Princess Toddler Costume,,Rubie's Costume Co.,Costumes,"costumes, rodeo, princess, toddler, ",,,Toddler,,,,,,,shopify,,deny,manual,17.2425,22.99,True,,883028269136,,,,,,,,,,,,,,,,,,,,,,
batman-toddler,Baby Batman Toddler Costume,,Rubie's Costume Co.,Costumes,"costumes, batman, toddler, ",,Size,Medium,,,,,,,shopify,,deny,manual,17.2425,22.99,True,,883028544233,,,,,,,,,,,,,,,,,,,,,,
superman-toddler,,,,,,,,Medium,,,,,,,shopify,,deny,manual,17.2425,22.99,True,,883028562336,,,,,,,,,,,,,,,,,,,,,,
darth-vader-toddler,Baby Darth Vader Toddler Costume,,Rubie's Costume Co.,Costumes,"costumes, darth, vader, toddler, ",,,Toddler,,,,,,,shopify,,deny,manual,18.7425,24.99,True,,883028826032,,,,,,,,,,,,,,,,,,,,,,
scooby-doo-infant,,,,,,,,Infant,,,,,,,shopify,,deny,manual,14.9925,19.99,True,,82686118347,,,,,,,,,,,,,,,,,,,,,,
batman-dk-toddler,,,,,,,,Medium,,,,,,,shopify,,deny,manual,26.2425,34.99,True,,883028129034,,,,,,,,,,,,,,,,,,,,,,
clifford-toddler,Baby Clifford Toddler Costume,,Rubie's Costume Co.,Costumes,"costumes, clifford, toddler, ",,,Toddler,,,,,,,shopify,,deny,manual,17.2425,22.99,True,,883028211036,,,,,,,,,,,,,,,,,,,,,,
robin-toddler,,,,,,,,Toddler,,,,,,,shopify,,deny,manual,14.9925,19.99,True,,883028520930,,,,,,,,,,,,,,,,,,,,,,
tootsie-roll-bunting,Baby Tootsie Roll Bunting Costume,,Rasta Imposta,Costumes,"costumes, tootsie, roll, bunting, ",,,Bunting,,,,,,,shopify,,deny,manual,20.9925,27.99,True,,791249400408,,,,,,,,,,,,,,,,,,,,,,
spongebob-toddler,Baby Spongebob Toddler Costume,,Rubie's Costume Co.,Costumes,"costumes, spongebob, toddler, ",,,Toddler,,,,,,,shopify,,deny,manual,22.4925,29.99,True,,883028317639,,,,,,,,,,,,,,,,,,,,,,
future-trooper-t,Baby Future Trooper T Costume,,Rasta Imposta,Costumes,"costumes, future, trooper, 3-4t, ",,,T,,,,,,,shopify,,deny,manual,24.7425,32.99,True,,791249957001,,,,,,,,,,,,,,,,,,,,,,
minion-jorge-toddler,Baby Minion Jorge Toddler Costume,,Rubie's Costume Co.,Costumes,"costumes, minion, jorge, toddler, ",,Size,Medium,,,,,,,shopify,,deny,manual,22.4925,29.99,True,,883028418336,,,,,,,,,,,,,,,,,,,,,,
batman-newborn,,,,,,,,Medium,,,,,,,shopify,,deny,manual,14.9925,19.99,True,,883028530410,,,,,,,,,,,,,,,,,,,,,,
darth-vader---toddler,,,,,,,,Toddler,,,,,,,shopify,,deny,manual,14.9925,19.99,True,,82686116091,,,,,,,,,,,,,,,,,,,,,,
batman-infant,,,,,,,,Medium,,,,,,,shopify,,deny,manual,17.2425,22.99,True,,883028544226,,,,,,,,,,,,,,,,,,,,,,
bamm-bamm-toddler,Baby Bamm Bamm Toddler Costume,,Rubie's Costume Co.,Costumes,"costumes, bamm, bamm, toddler, ",,Size,Medium,,,,,,,shopify,,deny,manual,22.4925,29.99,True,,82686116077,,,,,,,,,,,,,,,,,,,,,,
cheerleader-champ-t,Baby Cheerleader Champ T Costume,,Rubie's Costume Co.,Costumes,"costumes, cheerleader, champ, 2-4t, ",,Size,Medium,,,,,,,shopify,,deny,manual,14.9925,19.99,True,,883028268832,,,,,,,,,,,,,,,,,,,,,,
pumpkin-pie-toddler,,,,,,,,Medium,,,,,,,shopify,,deny,manual,11.9925,15.99,True,,883028523931,,,,,,,,,,,,,,,,,,,,,,
superman-newborn,,,,,,,,Medium,,,,,,,shopify,,deny,manual,20.99,27.99,True,,883028530113,,,,,,,,,,,,,,,,,,,,,,
batman---toddler,,,,,,,,Medium,,,,,,,shopify,,deny,manual,16.4925,21.99,True,,883028579433,,,,,,,,,,,,,,,,,,,,,,
future-golfer-t,,,,,,,,T,,,,,,,shopify,,deny,manual,26.2425,34.99,True,,791249955809,,,,,,,,,,,,,,,,,,,,,,
dora-t,Baby Dora T Costume,,Rubie's Costume Co.,Costumes,"costumes, dora, 2-4t, ",,,T,,,,,,,shopify,,deny,manual,22.4925,29.99,True,,883028313235,,,,,,,,,,,,,,,,,,,,,,
batman---infant,,,,,,,,Medium,,,,,,,shopify,,deny,manual,16.4925,21.99,True,,883028579426,,,,,,,,,,,,,,,,,,,,,,
darth-vader-infant,,,,,,,,Infant,,,,,,,shopify,,deny,manual,14.9925,19.99,True,,400000031811,,,,,,,,,,,,,,,,,,,,,,
lil'-cupcake,Baby Lil' Cupcake  Costume,,Amscan,Costumes,"costumes, lil', cupcake, 3-4, ",,,,,,,,,,shopify,,deny,manual,26.2425,34.99,True,,809801722384,,,,,,,,,,,,,,,,,,,,,,
train-engineer-t,Baby Train Engineer T Costume,,Fun World,Costumes,"costumes, train, engineer, 2t, ",,,T,,,,,,,shopify,,deny,manual,18.7425,24.99,True,,788677088865,,,,,,,,,,,,,,,,,,,,,,
wittle-wabbit,Baby Wittle Wabbit Infant  Mo Costume,,Amscan,Costumes,"costumes, wittle, wabbit, infant, 12-18, mo, ",,,,,,,,,,shopify,,deny,manual,22.4925,29.99,True,,809801731713,,,,,,,,,,,,,,,,,,,,,,
little-dragon-t,,,,,,,,T,,,,,,,shopify,,deny,manual,32.2425,42.99,True,,714718483757,,,,,,,,,,,,,,,,,,,,,,
buzz-lightyear,Baby Buzz Lightyear  Costume,,Disguise Inc.,Costumes,"costumes, buzz, lightyear, 3-4, ",,,,,,,,,,shopify,,deny,manual,22.4925,29.99,True,,32692523055,,,,,,,,,,,,,,,,,,,,,,
policeman,,,,,,,,Medium,,,,,,,shopify,,deny,manual,22.4925,29.99,True,,23168015273,,,,,,,,,,,,,,,,,,,,,,
sully,Baby Sully  Costume,,Disguise Inc.,Costumes,"costumes, sully, med, 3-4, ",,Size,Medium,,,,,,,shopify,,deny,manual,24.7425,32.99,True,,39897587660,,,,,,,,,,,,,,,,,,,,,,
sweetheart-monster-t,Baby Sweetheart Monster T Costume,,Leg Avenue Inc.,Costumes,"costumes, sweetheart, monster, 3-4t, ",,Size,Medium,,,,,,,shopify,,deny,manual,22.4925,29.99,True,,714718465197,,,,,,,,,,,,,,,,,,,,,,
perfect-kitty-m,Baby Perfect Kitty M Costume,,Disguise Inc.,Costumes,"costumes, perfect, kitty, 12-18m, ",,,M,,,,,,,shopify,,deny,manual,22.4925,29.99,True,,39897135847,,,,,,,,,,,,,,,,,,,,,,
lil'-sheriff-t,Baby Lil' Sheriff T Costume,,Fun World,Costumes,"costumes, lil', sheriff, 2t, ",,,T,,,,,,,shopify,,deny,manual,22.4925,29.99,True,,23168015648,,,,,,,,,,,,,,,,,,,,,,
