Item Number,Item Name,Item Description,Brief Description,Attribute,Size,Regular Price,MSRP,UPC,Department Name,Vendor Name,Qty 1,Custom Field 1,,,,,,,
22193,DISCO FEVER ADULT,DISCO FEVER ADULT,,MEN,STD,28.4925,37.99,0721773607479,COSTUMES,FORUM NOVELTIES INC,0,60747,,,,,,,
22127,DOCTOR ADULT,DOCTOR ADULT,,MEN,STD,18.7425,24.99,0082686153263,COSTUMES,RUBIE'S COSTUME CO.,5,15326,,,,,,,
18915,DOCTOR MD ADULT,DOCTOR MD ADULT,,MEN,DOCTOR,14.9925,19.99,0809801702669,COSTUMES,AMSCAN,0,840229,,,,,,,
19929,DONATELLO STD,DONATELLO STD,,MEN,STD,29.99,59.99,0883028044207,COSTUMES,RUBIE'S COSTUME CO.,0,880442,,,,,,,
19930,DONATELLO XL,DONATELLO XL,,MEN,XL,29.99,59.99,0883028044283,COSTUMES,RUBIE'S COSTUME CO.,0,880442,,,,,,,
19032,DOTTED CLOWN ADULT,DOTTED CLOWN ADULT,,MEN,STD,14.9925,19.99,0082686550529,COSTUMES,RUBIE'S COSTUME CO.,1,55052,,,,,,,
22241,DR KILL JOY ADULT,DR KILL JOY ADULT,,MEN,STD,22.4925,29.99,0023168011244,COSTUMES,FUN WORLD,4,1124,,,,,,,
20770,DR SEYMOUR BUSH GYNO ADULT,DR SEYMOUR BUSH GYNO ADULT,,MEN,STD,14.9925,19.99,0791249013141,COSTUMES,RASTA IMPOSTA,0,7206,,,,,,,
20506,DR. BEN DOVER ADULT,DR. BEN DOVER ADULT,,MEN,STD,22.4925,29.99,0721773565236,COSTUMES,FORUM NOVELTIES INC,0,56523,,,,,,,
20515,DR. LAB COAT STD,DR. LAB COAT STD,,MEN,STD,18.74,24.99,0721773603860,COSTUMES,FORUM NOVELTIES INC,8,60386,,,,,,,
22509,EMOJI SMILE SANDWICH STD,EMOJI SMILE SANDWICH STD,,MEN,O/S,19.99,36.99,0039897853260,COSTUMES,DISGUISE INC.,2,85326,,,,,,,
22512,EMOJI WINK STD,EMOJI WINK STD,,MEN,O/S,19.99,36.99,0039897853253,COSTUMES,DISGUISE INC.,2,85325,,,,,,,
22242,EMPEROR OF EVIL ADULT,EMPEROR OF EVIL ADULT,,MEN,STD,29.9925,39.99,0023168057280,COSTUMES,FUN WORLD,0,5728,,,,,,,
18856,EVIL CLOWN SHIRT,EVIL CLOWN SHIRT,,MEN,SHIRT,18.7425,24.99,0809801717571,COSTUMES,AMSCAN,0,841631,,,,,,,
21550,FATTY FART-L-CUS ADULT,FATTY FART-L-CUS ADULT,,MEN,STD,20.9925,27.99,0071765028820,COSTUMES,FUN WORLD,0,110974,,,,,,,
20643,FLOATING GHOST STD ADULT,FLOATING GHOST STD ADULT,,MEN,STD,35.2425,46.99,0721773701962,COSTUMES,FORUM NOVELTIES INC,0,70196,,,,,,,
22198,FLOATING GHOST XL ADULT,FLOATING GHOST XL ADULT,,MEN,XL,35.2425,46.99,0721773701979,COSTUMES,FORUM NOVELTIES INC,0,70197,,,,,,,
22132,FRANKENSTEIN ADULT,FRANKENSTEIN ADULT,,MEN,STD,41.2425,54.99,0082686150712,COSTUMES,RUBIE'S COSTUME CO.,2,15071,,,,,,,
22135,FREDDY SWEATER ADULT,FREDDY SWEATER ADULT,,MEN,STD,22.4925,29.99,0082686560450,COSTUMES,RUBIE'S COSTUME CO.,4,56045,,,,,,,
22258,FRENCH FRIES ADULT,FRENCH FRIES ADULT,,MEN,STD,29.9925,39.99,0791249708306,COSTUMES,RASTA IMPOSTA,0,7083,,,,,,,
18914,FRIAR ADULT,FRIAR ADULT,,MEN,FRIAR,29.9925,39.99,0809801702775,COSTUMES,AMSCAN,0,840241,,,,,,,
22136,FULL CUT ROBE ADULT,FULL CUT ROBE ADULT,,MEN,STD,29.9925,39.99,0082686173155,COSTUMES,RUBIE'S COSTUME CO.,1,17315,,,,,,,
22259,FUN DIP PACKAGE,FUN DIP PACKAGE,,MEN,STD,32.2425,42.99,0791249398507,COSTUMES,RASTA IMPOSTA,0,3985,,,,,,,
22138,GANGSTER MAN ADULT,GANGSTER MAN ADULT,,MEN,STD,29.9925,39.99,0082686154994,COSTUMES,RUBIE'S COSTUME CO.,1,15499,,,,,,,
22139,GANSTER MAN XL,GANSTER MAN XL,,MEN,XL,29.9925,39.99,0400000947051,COSTUMES,RUBIE'S COSTUME CO.,0,15499,,,,,,,
19578,GAUZE ZOMBIE STD,GAUZE ZOMBIE STD,,MEN,STD,29.9925,39.99,0023168054265,COSTUMES,FUN WORLD,0,5426,,,,,,,
